rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,test_part,boxes_type,utt_type,correct_side,responses,subid,accuracy
6860.43499968946,NA,html-button-response,5,184940,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",0,test,num,simple,1,NA,xowt_voay_evlr,0
153397.23499957472,NA,survey-text,6,338341,0.0-4.0,NA,NA,comment,NA,NA,NA,many balls inside the box,xowt_voay_evlr,NA
1500.6699999794364,NA,html-button-response,7,339844,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,xowt_voay_evlr,NA
16773.095000000012,recaptcha.html,external-html,0,17183,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,xthj_fyak_lxxt,NA
7084.410000000389,consent/consent.html,external-html,1,26288,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,xthj_fyak_lxxt,NA
1714.8400000000947,NA,html-button-response,2,28010,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,xthj_fyak_lxxt,NA
3185.5849999997154,NA,html-button-response,3,33207,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,xthj_fyak_lxxt,NA
4034.869999999959,NA,html-button-response,4,37248,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,xthj_fyak_lxxt,NA
3097.884999999682,NA,html-button-response,5,40351,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",0,test,type,simple,0,NA,xthj_fyak_lxxt,1
17160.044999999627,NA,survey-text,6,57520,0.0-4.0,NA,NA,comment,NA,NA,NA,GUESS,xthj_fyak_lxxt,NA
1011.4699999999139,NA,html-button-response,7,58535,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,xthj_fyak_lxxt,NA
27228.484999999637,recaptcha.html,external-html,0,27252,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,xvpp_fpwl_hsdb,NA
17271.540000016103,consent/consent.html,external-html,1,44629,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,xvpp_fpwl_hsdb,NA
1693.0949999950826,NA,html-button-response,2,46325,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,xvpp_fpwl_hsdb,NA
6882.700000016484,NA,html-button-response,3,55228,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,xvpp_fpwl_hsdb,NA
4235.599999985425,NA,html-button-response,4,59466,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,xvpp_fpwl_hsdb,NA
3516.5799999958836,NA,html-button-response,5,62985,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",0,test,num,simple,1,NA,xvpp_fpwl_hsdb,0
7585.835000005318,NA,survey-text,6,70577,0.0-4.0,NA,NA,comment,NA,NA,NA,1,xvpp_fpwl_hsdb,NA
4148.649999988265,NA,html-button-response,7,74728,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,xvpp_fpwl_hsdb,NA
100170.00000004191,recaptcha.html,external-html,0,100524,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,xxmu_jess_wkxa,NA
47549.99999993015,consent/consent.html,external-html,1,149572,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,xxmu_jess_wkxa,NA
4789.999999920838,NA,html-button-response,2,154367,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,xxmu_jess_wkxa,NA
41221.99999995064,NA,html-button-response,3,197594,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,xxmu_jess_wkxa,NA
21829.99999995809,NA,html-button-response,4,219424,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,xxmu_jess_wkxa,NA
27382.00000009965,NA,html-button-response,5,246807,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma!""</i>?</p><div style='width: 700px;'></div>",0,test,type,simple,1,NA,xxmu_jess_wkxa,0
129768.00000004005,NA,survey-text,6,376582,0.0-4.0,NA,NA,comment,NA,NA,NA,Because it is like a rain drop,xxmu_jess_wkxa,NA
5511.999999987893,NA,html-button-response,7,382100,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,xxmu_jess_wkxa,NA
55004.650000000765,recaptcha.html,external-html,0,55052,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,ydwt_xpra_gzex,NA
6549.250000000029,consent/consent.html,external-html,1,61636,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,ydwt_xpra_gzex,NA
1337.9550000008749,NA,html-button-response,2,62981,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,ydwt_xpra_gzex,NA
1339.140000000043,NA,html-button-response,3,66324,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,ydwt_xpra_gzex,NA
1906.1900000015157,NA,html-button-response,4,68234,0.0-3.0-1.0,"<p>Dax has a box. <br> He opens the box and looks inside. <br><br>Then, Dax says, <i>""Toma zem zorp bidaku midu osh gipu!""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img></div></div><br>",0,setup,NA,NA,NA,NA,ydwt_xpra_gzex,NA
3235.7499999998254,NA,html-button-response,5,71474,0.0-3.0-2.0,"<p>Which box do you think Dax was looking in when he said<br><i>""Toma zem zorp bidaku midu osh gipu!""</i>?</p><div style='width: 700px;'></div>",1,test,entropy,complex,1,NA,ydwt_xpra_gzex,1
6888.614999999845,NA,survey-text,6,78372,0.0-4.0,NA,NA,comment,NA,NA,NA,excellent,ydwt_xpra_gzex,NA
1244.0299999998388,NA,html-button-response,7,79619,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,ydwt_xpra_gzex,NA
45659.25500006415,recaptcha.html,external-html,0,45678,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,ygoo_plny_cive,NA
6157.049999805167,consent/consent.html,external-html,1,51846,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,ygoo_plny_cive,NA
1473.299999954179,NA,html-button-response,2,53321,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,ygoo_plny_cive,NA
